Title,Location,Area,Status,Price,Year,Bathroom,District
2 BHK Independent Floor,"Sudarshan Park, Delhi",500,Ready to move,38,,5 - 6 years old,South-West Delhi
3 BHK Independent Floor,"Dashrath Puri, Delhi",1000,Ready to move,55,,6 years old,South-West Delhi
5 BHK Independent Floor,"Shahdara, Delhi",2750,Ready to move,1.5,,4 Bathrooms,South/West/Central Delhi
2 BHK Apartment,"Sector 10 Dwarka, Delhi",700,Ready to move,33.5,,2 Bathrooms,South-West Delhi
3 BHK Independent Floor,"Chittaranjan Park, Delhi",1050,Ready to move,1.4,,6 years old,South/West/Central Delhi
3 BHK Independent Floor,"Dwarka Mor, Delhi",900,Under Construction,48,,2 Bathrooms,South-West Delhi
3 BHK Independent Floor,"Chittaranjan Park, Delhi",1125,Ready to move,2,,6 years old,South/West/Central Delhi
2 BHK Independent Floor,"Mahavir Enclave, Delhi",800,Ready to move,39,,2 Bathrooms,South-West Delhi
3 BHK Independent Floor,"Chattarpur, Delhi",1125,Under Construction,70,,3 Bathrooms,South-West Delhi
3 BHK Independent Floor,"Janakpuri, Delhi",1350,Ready to move,1.7,,2 Bathrooms,South/West/Central Delhi
2 BHK Independent Floor,"Mahavir Enclave, Delhi",540,Ready to move,36,,2 Bathrooms,South-West Delhi
3 BHK Independent Floor,,1250,Ready to move,1.6,,,South/West/Central Delhi
Residential Plot,,455,Resale,15,,,South/West/Central Delhi
3 BHK Independent Floor,,900,Ready to move,59.99,,,South-West Delhi
1 BHK Apartment,,450,Ready to move,18,,,South/West/Central Delhi
1 BHK Independent Floor,,450,Ready to move,17,,,South/West/Central Delhi
2 BHK Apartment,,650,Ready to move,30,,,South-West Delhi
3 BHK Apartment,,2600,Ready to move,3.9,,,South/West/Central Delhi
2 BHK Independent Floor,,675,Ready to move,35,,,South-West Delhi
3 BHK Apartment,,1000,Ready to move,59,,,South-West Delhi
3 BHK Independent Floor,,1425,Ready to move,78.74,,,South-West Delhi
2 BHK Independent Floor,,540,Ready to move,22,,,South-West Delhi
3 BHK Independent Floor,,2018,Ready to move,8,,,South/West/Central Delhi
3 BHK Independent Floor,,2018,Ready to move,7.5,,,South/West/Central Delhi
2 BHK Independent Floor,,900,Ready to move,34,,,South-West Delhi
2 BHK Apartment,,450,Ready to move,30,,,South-West Delhi
2 BHK Independent Floor,,675,Ready to move,30,,,South-West Delhi
2 BHK Independent Floor,,680,Ready to move,47,,,South-West Delhi
2 BHK Independent Floor,,800,Ready to move,39,,,South-West Delhi
3 BHK Independent Floor,,1900,Ready to move,2.34,,,South/West/Central Delhi
3 BHK Apartment,,1400,Ready to move,1.5,,,South/West/Central Delhi
2 BHK Independent Floor,"Sector 19 Dwarka, Delhi",,Ready to move,65,,,South-West Delhi
2 BHK Apartment,"Shahabad Mohammadpur, Delhi",,Ready to move,36.5,,,South-West Delhi
3 BHK Independent Floor,"Gujranwala Town, Delhi",,Ready to move,2.7,,,South/West/Central Delhi
3 BHK Independent Floor,"Dilshad Garden, Delhi",,Ready to move,70,,,South-West Delhi
3 BHK Independent Floor,"Janakpuri, Delhi",,Ready to move,2.95,,,South/West/Central Delhi
3 BHK Apartment,"Patparganj, Delhi",,Ready to move,2,,,South/West/Central Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",,Ready to move,1.5,,,South/West/Central Delhi
Residential Plot,"Najafgarh, Delhi",,Resale,1.2,,,South/West/Central Delhi
4 BHK Independent Floor,"Babarpur, Delhi",,Ready to move,1.34,,,South/West/Central Delhi
4 BHK Independent Floor,"Ashok Vihar, Delhi",,Under Construction,5.6,,,South/West/Central Delhi
2 BHK Independent Floor,"Shahdara, Delhi",,Ready to move,49,,,South-West Delhi
3 BHK Independent Floor,"West End, Delhi",,Ready to move,6.25,,,South/West/Central Delhi
3 BHK Independent Floor,"Anand Niketan, Delhi",,Ready to move,6,,,South/West/Central Delhi
3 BHK Apartment,"Sector 8 Dwarka, Delhi",,Ready to move,50,,,South-West Delhi
2 BHK Apartment,"Sector 8 Dwarka, Delhi",,Ready to move,50,,,South-West Delhi
3 BHK Independent House,"Karawal Nagar, Delhi",,Ready to move,55,,,South-West Delhi
1 BHK Apartment,"Jamia Nagar, Delhi",,Ready to move,18.5,,,South-West Delhi
3 BHK Apartment,"Sarita Vihar, Delhi",,Ready to move,2.6,,,South/West/Central Delhi
9 BHK Independent House,"Uttam Nagar, Delhi",,Ready to move,1.49,,,South/West/Central Delhi
9 BHK Independent House,"Uttam Nagar, Delhi",,Ready to move,1.49,,,South/West/Central Delhi
3 BHK Apartment,"Sukhdev Vihar, Delhi",2100,Ready to move,3,,Resale,South/West/Central Delhi
7 BHK Independent House,"Sangam Vihar, Delhi",2500,Ready to move,55,,Resale,South-West Delhi
7 BHK Independent House,"Sangam Vihar, Delhi",2501,Ready to move,55,,Resale,South-West Delhi
7 BHK Independent House,"Sangam Vihar, Delhi",2500,Ready to move,55,,Resale,South-West Delhi
3 BHK Apartment,"Jasola, Delhi",1800,Ready to move,2.3,,Resale,South/West/Central Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",1250,Ready to move,1.45,,3 Bathrooms,South/West/Central Delhi
2 BHK Independent Floor,"vikaspuri, Delhi",1000,Ready to move,83.5,,2 Bathrooms,South-West Delhi
2 BHK Independent Floor,"Mahavir Enclave, Delhi",545,Ready to move,23,,Resale,South-West Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",1250,Ready to move,1.4,,3 Bathrooms,South/West/Central Delhi
